"Ranking","Rangking.Provinsi","Nilai.Total","NPSN","Sekolah","Provinsi","Kab.Kota","Jenis"
518,87,527.99,"20327967","SMAN 2 SURAKARTA","JAWA TENGAH","KOTA SURAKARTA","SMA"
519,84,527.979,"20102572","SMAN 63 JAKARTA","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
520,88,527.947,"20339023","SMA NEGERI 2 PATI","JAWA TENGAH","KAB. PATI","SMA"
521,12,527.907,"10303499","SMAN 2 PADANG","SUMATERA BARAT","KOTA PADANG","SMA"
522,36,527.899,"P2967096","PKBM KAK SETO","BANTEN","KOTA TANGERANG SELATAN","PKBM"
523,10,527.896,"10404022","SMAS SANTA MARIA","RIAU","KOTA PEKANBARU","SMA"
524,102,527.804,"60726806","SMAIT INSANTAMA PLUS","JAWA BARAT","KOTA BOGOR","SMA"
525,89,527.777,"20327565","SMAN 4 MAGELANG","JAWA TENGAH","KOTA MAGELANG","SMA"
526,76,527.769,"20532138","SMAS KATOLIK SANTA AGNES","JAWA TIMUR","KOTA SURABAYA","SMA"
527,13,527.713,"10303500","SMAN 3 PADANG","SUMATERA BARAT","KOTA PADANG","SMA"
528,103,527.633,"20269747","SMA NURUL FIKRI BOARDING SCHOOL LEMBANG","JAWA BARAT","KAB. BANDUNG BARAT","SMA"
529,77,527.602,"20533664","SMAN 2","JAWA TIMUR","KOTA MALANG","SMA"
530,78,527.565,"69786332","SMA ISLAM TERPADU AL USWAH","JAWA TIMUR","KOTA SURABAYA","SMA"
531,11,527.491,"10403985","SMA NEGERI 1 PEKANBARU","RIAU","KOTA PEKANBARU","SMA"
532,104,527.359,"69822688","SMAS ISLAM TERPADU SITUWANGI CIKAJANG","JAWA BARAT","KAB. GARUT","SMA"
533,105,527.194,"20252288","SMAS PRESIDEN (BOARDING SCHOOL)","JAWA BARAT","KAB. BEKASI","SMA"
534,79,527.045,"20503413","SMA NEGERI 3 JOMBANG","JAWA TIMUR","KAB. JOMBANG","SMA"
535,12,527.024,"10496358","SMAS PLUS TARUNA ANDALAN","RIAU","KAB. PELALAWAN","SMA"
536,106,526.994,"20206151","SMAN 1 BALEENDAH","JAWA BARAT","KAB. BANDUNG","SMA"
537,80,526.96,"20574536","SMA AL MUSLIM ","JAWA TIMUR","KAB. SIDOARJO","SMA"
538,90,526.933,"69823287","SMA AL-ABIDIN BILINGUAL BOARDING SCHOOL","JAWA TENGAH","KOTA SURAKARTA","SMA"
539,91,526.929,"20328879","SMA NEGERI 11","JAWA TENGAH","KOTA SEMARANG","SMA"
540,81,526.926,"20501784","SMAN 1 KRIAN","JAWA TIMUR","KAB. SIDOARJO","SMA"
541,107,526.909,"20214989","SMAN 1 SUMBER","JAWA BARAT","KAB. CIREBON","SMA"
542,6,526.895,"69941830","MAN INSAN CENDEKIA PASER","KALIMANTAN TIMUR","KAB. PASER","MA"
543,92,526.807,"20341151","SMAS AL ITISHOM GRABAG","JAWA TENGAH","KAB. MAGELANG","SMA"
544,85,526.788,"20102564","SMAN 87 JAKARTA","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
545,93,526.782,"20310425","SMAN 1 KARTASURA","JAWA TENGAH","KAB. SUKOHARJO","SMA"
546,86,526.742,"20103308","SMAN 59 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
547,40,526.72,"20401132","SMAN 2 NGAGLIK","DI YOGYAKARTA","KAB. SLEMAN","SMA"
548,82,526.61,"20532231","SMAN 20 SURABAYA","JAWA TIMUR","KOTA SURABAYA","SMA"
549,83,526.5,"69948430","SMA  IT AL HIKMAH","JAWA TIMUR","KAB. BLITAR","SMA"
550,7,526.475,"30400382","SMAN 1 BERAU","KALIMANTAN TIMUR","KAB. BERAU","SMA"
551,87,526.446,"20107334","SMA TARAKANITA 1 JAKARTA","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
552,94,526.443,"20317483","SMAN 1 BAE KUDUS","JAWA TENGAH","KAB. KUDUS","SMA"
553,37,526.346,"20603267","SMAN 7 KOTA TANGERANG SELATAN","BANTEN","KOTA TANGERANG SELATAN","SMA"
554,88,526.307,"20102562","SMAN 97 JAKARTA","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
555,89,526.261,"20103290","SMAN 105 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
556,90,526.232,"20100224","SMAN 30 JAKARTA","DKI JAKARTA","KOTA JAKARTA PUSAT","SMA"
557,13,526.229,"10403792","SMAN PINTAR","RIAU","KAB. KUANTAN SINGINGI","SMA"
558,4,526.199,"30105212","SMAN 3 PONTIANAK","KALIMANTAN BARAT","KOTA PONTIANAK","SMA"
559,84,526.184,"20517786","SMAS AR ROHMAH DAU","JAWA TIMUR","KAB. MALANG","SMA"
560,91,526.161,"20101587","SMAN 84 JAKARTA","DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
561,14,526.081,"10303904","SMAN 1 PAYAKUMBUH","SUMATERA BARAT","KOTA PAYAKUMBUH","SMA"
562,92,526.03,"20102213","SMAN 37 JAKARTA","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
563,1,525.846,"69975824","MAN INSAN CENDEKIA KOTA KENDARI","SULAWESI TENGGARA","KOTA KENDARI","MA"
564,85,525.809,"20533803","SMKS TELKOM SANDHY PUTRA","JAWA TIMUR","KOTA MALANG","SMK"
565,93,525.782,"20103787","SMKN 26 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMK"
566,108,525.782,"20224511","SMA NEGERI 1 TASIKMALAYA","JAWA BARAT","KOTA TASIKMALAYA","SMA"
567,109,525.707,"69946479","SMA EDU GLOBAL","JAWA BARAT","KOTA BANDUNG","SMA"
568,94,525.641,"20101625","SMAN 16 JAKARTA","DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
569,95,525.639,"20330331","SMKN 1 KARANGANYAR","JAWA TENGAH","KAB. KEBUMEN","SMK"
570,86,525.532,"20534125","SMAN 1 MADIUN","JAWA TIMUR","KOTA MADIUN","SMA"
571,15,525.492,"10211316","SMAS METHODIST","SUMATERA UTARA","KOTA BINJAI","SMA"
572,96,525.409,"20306186","SMKN 2 PURWOREJO","JAWA TENGAH","KAB. PURWOREJO","SMK"
573,97,525.399,"20306180","SMKN 1 PURWOREJO","JAWA TENGAH","KAB. PURWOREJO","SMK"
574,41,525.388,"20401133","SMAN 2 SLEMAN","DI YOGYAKARTA","KAB. SLEMAN","SMA"
575,110,525.347,"20218379","SMAN 2 TAMBUN SELATAN","JAWA BARAT","KAB. BEKASI","SMA"
576,98,525.243,"20321448","SMK NEGERI 2 TEMANGGUNG","JAWA TENGAH","KAB. TEMANGGUNG","SMK"
577,38,525.171,"20606847","SMAN 3 TANGERANG","BANTEN","KOTA TANGERANG","SMA"
578,87,525.147,"20514347","SMAN 1 SRENGAT","JAWA TIMUR","KAB. BLITAR","SMA"
579,9,525.072,"50101696","SMAN 1 KUTA UTARA","BALI","KAB. BADUNG","SMA"
580,111,525.056,"20219238","SMAN 15 BANDUNG","JAWA BARAT","KOTA BANDUNG","SMA"
581,99,525.01,"20306806","SMA NEGERI 2 WONOSOBO","JAWA TENGAH","KAB. WONOSOBO","SMA"
582,8,524.941,"69766189","SMAS IT DAARUL HIKMAH","KALIMANTAN TIMUR","KOTA BONTANG","SMA"
583,10,524.842,"50105492","SMAN BALI MANDARA","BALI","KAB. BULELENG","SMA"
584,88,524.804,"20580757","MAS UNGGULAN AMANATUL UMMAH SURABAYA","JAWA TIMUR","KOTA SURABAYA","MA"
585,6,524.762,"11002199","SMAN 5 BATAM","KEPULAUAN RIAU","KOTA BATAM","SMA"
586,112,524.736,"20219324","SMAN 9 BANDUNG","JAWA BARAT","KOTA BANDUNG","SMA"
587,100,524.708,"20341603","SMAS AL IRSYAD AL ISLAMIYYAH","JAWA TENGAH","KAB. BANYUMAS","SMA"
588,113,524.681,"20265284","SMAS YOS SUDARSO","JAWA BARAT","KAB. KARAWANG","SMA"
589,11,524.659,"50101705","SMAN 1 KUTA","BALI","KAB. BADUNG","SMA"
590,114,524.657,"20219239","SMAN 14 BANDUNG","JAWA BARAT","KOTA BANDUNG","SMA"
591,115,524.648,"20277119","MAN 2 KOTA BOGOR","JAWA BARAT","KOTA BOGOR","MA"
592,42,524.62,"20401126","SMAN 1 PRAMBANAN","DI YOGYAKARTA","KAB. SLEMAN","SMA"
593,89,524.589,"20506254","SMA NEGERI 2 LAMONGAN","JAWA TIMUR","KAB. LAMONGAN","SMA"
594,90,524.516,"20534122","SMAN 3 TARUNA ANGKASA MADIUN","JAWA TIMUR","KOTA MADIUN","SMA"
595,6,524.469,"10504553","SMAN 3 KOTA JAMBI","JAMBI","KOTA JAMBI","SMA"
596,116,524.318,"20223040","SMAN 9 BEKASI","JAWA BARAT","KOTA BEKASI","SMA"
597,117,524.293,"20254097","SMAS KETAPANG 3","JAWA BARAT","KAB. BOGOR","SMA"
598,118,524.258,"20229166","SMAN 4 KOTA DEPOK","JAWA BARAT","KOTA DEPOK","SMA"
599,91,524.242,"20508480","SMAN 1 NGAWI","JAWA TIMUR","KAB. NGAWI","SMA"
600,101,524.209,"20321428","SMA NEGERI 1 PARAKAN","JAWA TENGAH","KAB. TEMANGGUNG","SMA"
601,102,524.192,"20323398","SMA NEGERI 1 KAJEN","JAWA TENGAH","KAB. PEKALONGAN","SMA"
602,15,524.183,"10303610","SMAN 2 PADANG PANJANG","SUMATERA BARAT","KOTA PADANG PANJANG","SMA"
603,9,524.179,"30401787","SMAS YAYASAN PENDIDIKAN VIDYA DAHANA PATRA","KALIMANTAN TIMUR","KOTA BONTANG","SMA"
604,92,524.16,"20533661","SMAN 10","JAWA TIMUR","KOTA MALANG","SMA"
605,95,524.143,"20103299","SMAN 89 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
606,7,524.122,"10504684","SMAN 1 KOTA JAMBI","JAMBI","KOTA JAMBI","SMA"
607,96,524.12,"20102566","SMAN 82 JAKARTA","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
608,39,524.093,"20613768","SMAN 6 KOTA TANGERANG SELATAN","BANTEN","KOTA TANGERANG SELATAN","SMA"
609,9,523.751,"10600905","SMAN 1 UNGGULAN MUARA ENIM","SUMATERA SELATAN","KAB. MUARA ENIM","SMA"
610,97,523.749,"20103784","SMKN 48 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMK"
611,93,523.693,"20533638","SMAS KATOLIK COR YESU","JAWA TIMUR","KOTA MALANG","SMA"
612,98,523.69,"20102573","SMAN 60 JAKARTA","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
613,103,523.623,"20331978","SMAN 2 MAGELANG","JAWA TENGAH","KOTA MAGELANG","SMA"
614,94,523.596,"20540294","SMA DARUL ULUM 2 UNGGULAN BPPT","JAWA TIMUR","KAB. JOMBANG","SMA"
615,119,523.581,"20224136","SMK NEGERI 1 CIMAHI","JAWA BARAT","KOTA CIMAHI","SMK"
616,104,523.567,"20363060","MAN 1 SURAKARTA","JAWA TENGAH","KOTA SURAKARTA","MA"
617,95,523.524,"20504478","SMAN 2 BOJONEGORO","JAWA TIMUR","KAB. BOJONEGORO","SMA"
618,105,523.486,"20320385","SMA NEGERI 1 BRINGIN","JAWA TENGAH","KAB. SEMARANG","SMA"
619,106,523.458,"20363211","MAS AL IRSYAD","JAWA TENGAH","KAB. SEMARANG","MA"
620,120,523.415,"20219306","SMAN 6 BANDUNG","JAWA BARAT","KOTA BANDUNG","SMA"
621,16,523.347,"10303905","SMAN 2 PAYAKUMBUH","SUMATERA BARAT","KOTA PAYAKUMBUH","SMA"
622,99,523.252,"20103291","SMAN 104 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
623,121,523.104,"20231317","SMAS MARSUDIRINI","JAWA BARAT","KAB. BOGOR","SMA"
624,100,523.1,"20109513","SMAS HIGH SCOPE","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
625,122,523.042,"20219250","SMAN 22 BANDUNG","JAWA BARAT","KOTA BANDUNG","SMA"
626,17,523.033,"10302476","SMAN 1 BATU SANGKAR","SUMATERA BARAT","KAB. TANAH DATAR","SMA"
627,4,522.953,"30304468","SMAS KRISTEN KANAAN","KALIMANTAN SELATAN","KOTA BANJARMASIN","SMA"
628,123,522.946,"20231704","SMAS ANANDA","JAWA BARAT","KOTA BEKASI","SMA"
629,124,522.906,"20270492","SMAN 8 DEPOK","JAWA BARAT","KOTA DEPOK","SMA"
630,40,522.852,"20603270","SMAN 4 KOTA TANGERANG SELATAN","BANTEN","KOTA TANGERANG SELATAN","SMA"
631,101,522.841,"20102211","SMAN 43 JAKARTA","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
632,43,522.759,"20400380","SMA NEGERI 2 BANGUNTAPAN","DI YOGYAKARTA","KAB. BANTUL","SMA"
633,107,522.728,"20328939","SMA NEGERI 09","JAWA TENGAH","KOTA SEMARANG","SMA"
634,102,522.673,"20103258","SMAN 93 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
635,125,522.649,"20258092","SMAS MUTIARA BUNDA","JAWA BARAT","KOTA BANDUNG","SMA"
636,5,522.522,"30304598","SMAN 2 BANJARBARU","KALIMANTAN SELATAN","KOTA BANJARBARU","SMA"
637,108,522.501,"20300727","SMA NEGERI 3 CILACAP","JAWA TENGAH","KAB. CILACAP","SMA"
638,126,522.499,"20220273","SMKN 1 BOGOR","JAWA BARAT","KOTA BOGOR","SMK"
639,44,522.466,"60724851","SMAS MUHAMMADIYAH BOARDING SCHOOL (MBS) SLEMAN","DI YOGYAKARTA","KAB. SLEMAN","SMA"
640,96,522.458,"69965070","SMA TAZKIA IIBS","JAWA TIMUR","KAB. MALANG","SMA"
641,97,522.396,"20532088","SMAS KATOLIK ST CAROLUS","JAWA TIMUR","KOTA SURABAYA","SMA"
642,45,522.347,"20402810","SMA NEGERI 1 PENGASIH","DI YOGYAKARTA","KAB. KULON PROGO","SMA"
643,12,522.297,"69765014","SMAS ALBANNA","BALI","KOTA DENPASAR","SMA"
644,6,522.229,"30304260","SMAN 7 BANJARMASIN","KALIMANTAN SELATAN","KOTA BANJARMASIN","SMA"
645,6,522.11,"10805055","SMAN 1 PRINGSEWU","LAMPUNG","KAB. PRINGSEWU","SMA"
646,46,522.028,"20400416","SMK NEGERI 1 BANTUL","DI YOGYAKARTA","KAB. BANTUL","SMK"
647,7,522.018,"11000433","SMAN 1 TANJUNG PINANG","KEPULAUAN RIAU","KOTA TANJUNGPINANG","SMA"
648,47,522.011,"20363269","MAS ISLAMIC CENTRE BIN BAZ","DI YOGYAKARTA","KAB. BANTUL","MA"
649,103,521.96,"20100211","SMAN 4 JAKARTA","DKI JAKARTA","KOTA JAKARTA PUSAT","SMA"
650,13,521.94,"50103181","SMAS K SANTO YOSEPH DENPASAR","BALI","KOTA DENPASAR","SMA"
651,109,521.89,"20361201","SMAS INSAN CENDIKIA AL-MUJTABA","JAWA TENGAH","KAB. SUKOHARJO","SMA"
652,5,521.836,"10900452","SMKN 1 TANJUNGPANDAN","KEPULAUAN BANGKA BELITUNG","KAB. BELITUNG","SMK"
653,98,521.773,"20523828","SMAN AMBULU","JAWA TIMUR","KAB. JEMBER","SMA"
654,110,521.723,"20327608","SMKN 1 MAGELANG","JAWA TENGAH","KOTA MAGELANG","SMK"
655,14,521.7,"10400870","SMAS CENDANA MANDAU","RIAU","KAB. BENGKALIS","SMA"
656,111,521.688,"20309690","SMAN 3 KLATEN","JAWA TENGAH","KAB. KLATEN","SMA"
657,99,521.68,"20507733","SMAN 1 MEJAYAN","JAWA TIMUR","KAB. MADIUN","SMA"
658,112,521.657,"20320369","SMA NEGERI 1 SURUH","JAWA TENGAH","KAB. SEMARANG","SMA"
659,113,521.654,"20330330","SMKN 1 GOMBONG","JAWA TENGAH","KAB. KEBUMEN","SMK"
660,16,521.613,"10206580","SMAN 1 MATAULI PANDAN","SUMATERA UTARA","KAB. TAPANULI TENGAH","SMA"
661,127,521.597,"20200686","SMAS DWI WARNA","JAWA BARAT","KAB. BOGOR","SMA"
662,128,521.567,"69774555","SMA ISLAM AL-AZHAR 8","JAWA BARAT","KOTA BEKASI","SMA"
663,48,521.52,"69965701","SMAIT ABU BAKAR BOARDING SCHOOL KULON PROGO","DI YOGYAKARTA","KAB. KULON PROGO","SMA"
664,7,521.517,"10807070","SMAN 9 BANDAR LAMPUNG","LAMPUNG","KOTA BANDAR LAMPUNG","SMA"
665,129,521.509,"20200685","SMAN 1 CIAWI BOGOR","JAWA BARAT","KAB. BOGOR","SMA"
666,130,521.482,"20268809","SMAS IT NURURRAHMAN","JAWA BARAT","KOTA DEPOK","SMA"
667,2,521.479,"69978360","MAN INSAN CENDEKIA BENGKULU TENGAH","BENGKULU","KAB. BENGKULU TENGAH","MA"
668,131,521.454,"20223032","SMAN 11 BEKASI","JAWA BARAT","KOTA BEKASI","SMA"
669,114,521.405,"20310495","SMAS ASSALAM SUKOHARJO","JAWA TENGAH","KAB. SUKOHARJO","SMA"
670,100,521.359,"20529954","SMAN 1 SUMENEP","JAWA TIMUR","KAB. SUMENEP","SMA"
671,115,521.354,"20307727","SMAN 1 GRABAG","JAWA TENGAH","KAB. MAGELANG","SMA"
672,104,521.349,"20100780","SMAN 80 JAKARTA","DKI JAKARTA","KOTA JAKARTA UTARA","SMA"
673,116,521.325,"20320244","SMA NEGERI 1 TENGARAN","JAWA TENGAH","KAB. SEMARANG","SMA"
674,105,521.316,"20107306","SMAS ISLAM AL-AZHAR 3 JAKARTA","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
675,106,521.283,"20177948","MAS PEMBANGUNAN UIN","DKI JAKARTA","KOTA JAKARTA SELATAN","MA"
676,132,521.275,"20221561","SMAN 3 SUKABUMI","JAWA BARAT","KOTA SUKABUMI","SMA"
677,15,521.26,"10404988","SMAN BINSUS KOTA DUMAI","RIAU","KOTA DUMAI","SMA"
678,101,521.178,"20532218","SMAN 18 SURABAYA","JAWA TIMUR","KOTA SURABAYA","SMA"
679,49,521.135,"20402127","SMAN 2 PLAYEN","DI YOGYAKARTA","KAB. GUNUNG KIDUL","SMA"
680,133,521.107,"20231316","SMAS MARDI WALUYA","JAWA BARAT","KAB. BOGOR","SMA"
681,117,521.082,"20324218","SMAN 1 COMAL","JAWA TENGAH","KAB. PEMALANG","SMA"
682,7,521.081,"40314696","SMKN 11 MAKASSAR","SULAWESI SELATAN","KOTA MAKASSAR","SMK"
683,50,521.069,"20402817","SMK N 2 PENGASIH","DI YOGYAKARTA","KAB. KULON PROGO","SMK"
684,41,521.068,"20606829","SMAN 7 TANGERANG","BANTEN","KOTA TANGERANG","SMA"
685,102,521.063,"20535052","SMAN 3 BLITAR","JAWA TIMUR","KOTA BLITAR","SMA"
686,103,521,"20577343","SMAS AR-ROHMAH PUTRI BOARDING SCHOOL DAU","JAWA TIMUR","KAB. MALANG","SMA"
687,10,520.992,"30401786","SMAN 1 BONTANG","KALIMANTAN TIMUR","KOTA BONTANG","SMA"
688,118,520.949,"20363221","MAS PPMI ASSALAAM","JAWA TENGAH","KAB. SUKOHARJO","MA"
689,119,520.94,"20330332","SMKN 1 KEBUMEN","JAWA TENGAH","KAB. KEBUMEN","SMK"
690,120,520.83,"20308442","SMAN 1 SIMO","JAWA TENGAH","KAB. BOYOLALI","SMA"
691,121,520.79,"20303231","SMAN 1 BOBOTSARI","JAWA TENGAH","KAB. PURBALINGGA","SMA"
692,14,520.784,"50100843","SMAN 1 NEGARA","BALI","KAB. JEMBRANA","SMA"
693,51,520.69,"20403227","SMAS BOPKRI 1","DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
694,18,520.682,"69964938","SMA NEGERI 3 SUMATERA BARAT","SUMATERA BARAT","KAB. PASAMAN","SMA"
695,42,520.669,"69943715","SMA AL ADZKAR","BANTEN","KOTA TANGERANG SELATAN","SMA"
696,107,520.654,"20103279","SMAN 9 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
697,52,520.649,"20401125","SMAN 1 SEYEGAN","DI YOGYAKARTA","KAB. SLEMAN","SMA"
698,134,520.645,"69866096","SMA AL MINHAJ","JAWA BARAT","KAB. BOGOR","SMA"
699,135,520.624,"20220322","SMAS BINA INSANI","JAWA BARAT","KOTA BOGOR","SMA"
700,136,520.61,"20224510","SMA Negeri 2 Tasikmalaya","JAWA BARAT","KOTA TASIKMALAYA","SMA"
701,16,520.542,"10403996","SMAS CENDANA","RIAU","KOTA PEKANBARU","SMA"
702,104,520.458,"20510147","SMAN 2 PONOROGO","JAWA TIMUR","KAB. PONOROGO","SMA"
703,122,520.421,"20312173","SMAN KARANGPANDAN","JAWA TENGAH","KAB. KARANGANYAR","SMA"
704,108,520.404,"20100219","SMAN 24 JAKARTA","DKI JAKARTA","KOTA JAKARTA PUSAT","SMA"
705,53,520.402,"20402796","SMA NEGERI 1 SENTOLO","DI YOGYAKARTA","KAB. KULON PROGO","SMA"
706,137,520.372,"20220313","SMAS MARDI YUANA","JAWA BARAT","KOTA BOGOR","SMA"
707,105,520.361,"20522640","SMAN 1 SITUBONDO","JAWA TIMUR","KAB. SITUBONDO","SMA"
708,138,520.352,"20231720","SMAN 14 BEKASI","JAWA BARAT","KOTA BEKASI","SMA"
709,106,520.305,"20511953","SMAN 1 PARE","JAWA TIMUR","KAB. KEDIRI","SMA"
710,109,520.233,"20103289","SMAN 106 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
711,123,520.198,"20305013","SMAN 1 KUTOWINANGUN","JAWA TENGAH","KAB. KEBUMEN","SMA"
712,124,520.142,"20309681","SMAN 1 JOGONALAN","JAWA TENGAH","KAB. KLATEN","SMA"
713,139,520.133,"20219316","SMAN 7 BANDUNG","JAWA BARAT","KOTA BANDUNG","SMA"
714,140,520.118,"20219247","SMAN 25 BANDUNG","JAWA BARAT","KOTA BANDUNG","SMA"
715,107,520.038,"20534749","SMAN 2","JAWA TIMUR","KOTA MOJOKERTO","SMA"
716,125,520.022,"20300731","SMA NEGERI 1 MAOS","JAWA TENGAH","KAB. CILACAP","SMA"
717,110,519.959,"20100210","SMAN 5 JAKARTA","DKI JAKARTA","KOTA JAKARTA PUSAT","SMA"
718,126,519.892,"20319280","SMAN 1 DEMAK","JAWA TENGAH","KAB. DEMAK","SMA"
719,141,519.836,"20263963","SMKN KEHUTANAN KADIPATEN","JAWA BARAT","KAB. MAJALENGKA","SMK"
720,127,519.824,"20314884","SMAN 1 CEPU","JAWA TENGAH","KAB. BLORA","SMA"
721,19,519.818,"10300299","SMA NEGERI 1 AMPEK ANGKEK","SUMATERA BARAT","KAB. AGAM","SMA"
722,128,519.756,"20337795","SMAS IT AL HIKMAH KARANGGEDE","JAWA TENGAH","KAB. BOYOLALI","SMA"
723,111,519.737,"20103769","SMK CARAKA NUSANTARA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMK"
724,129,519.699,"20329508","SMA Negeri 3 Pekalongan","JAWA TENGAH","KOTA PEKALONGAN","SMA"
725,1,519.607,"69767796","SMAS KRISTEN 2 KUPANG","NUSA TENGGARA TIMUR","KOTA KUPANG","SMA"
726,130,519.593,"20327586","SMKN 2 MAGELANG","JAWA TENGAH","KOTA MAGELANG","SMK"
727,15,519.59,"P9908600","PKBM HOMESCHOOLING PRIMAGAMA","BALI","KOTA DENPASAR","PKBM"
728,54,519.534,"20402788","SMK NEGERI 1 PENGASIH","DI YOGYAKARTA","KAB. KULON PROGO","SMK"
729,108,519.494,"20546529","SMA TARUNA DRA. ZULAEHA","JAWA TIMUR","KAB. PROBOLINGGO","SMA"
730,109,519.493,"20517736","SMAN 1 TUMPANG","JAWA TIMUR","KAB. MALANG","SMA"
731,17,519.493,"10201985","SMA NEGERI 1 KABANJAHE","SUMATERA UTARA","KAB. KARO","SMA"
732,110,519.481,"20507726","SMAN 1 GEGER","JAWA TIMUR","KAB. MADIUN","SMA"
733,131,519.472,"20307710","SMAN 1 SALAMAN","JAWA TENGAH","KAB. MAGELANG","SMA"
734,142,519.466,"20220341","SMAN 10 BOGOR","JAWA BARAT","KOTA BOGOR","SMA"
735,55,519.456,"20403157","SMAS MUHAMMADIYAH 1 YOGYAKARTA","DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
736,143,519.432,"20247276","SMAS LAZUARDI GIS","JAWA BARAT","KOTA DEPOK","SMA"
737,112,519.235,"20112433","SMAS JAKARTA ISLAMIC SCHOOL","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
738,144,519.147,"20229161","SMAS MARDI YUANA PANCORAN MAS","JAWA BARAT","KOTA DEPOK","SMA"
739,145,519.061,"20219246","SMAN 19 BANDUNG","JAWA BARAT","KOTA BANDUNG","SMA"
740,56,519.007,"20363282","MAN 2 YOGYAKARTA","DI YOGYAKARTA","KOTA YOGYAKARTA","MA"
741,111,519.004,"20515450","SMAN 1 BOYOLANGU","JAWA TIMUR","KAB. TULUNGAGUNG","SMA"
742,146,518.924,"20219240","SMAN 13 BANDUNG","JAWA BARAT","KOTA BANDUNG","SMA"
743,112,518.914,"20525855","SMAN 1 GIRI","JAWA TIMUR","KAB. BANYUWANGI","SMA"
744,132,518.843,"20363001","MAS WATHONIYAH ISLAMIYAH KARANGDUWUR","JAWA TENGAH","KAB. KEBUMEN","MA"
745,133,518.817,"20363090","MAS NU BANAT KUDUS","JAWA TENGAH","KAB. KUDUS","MA"
746,147,518.771,"20213893","SMAN 1 MAJALENGKA","JAWA BARAT","KAB. MAJALENGKA","SMA"
747,43,518.759,"69961248","SMA IT PUTRI AL HANIF","BANTEN","KOTA CILEGON","SMA"
748,134,518.751,"20328898","SMA NEGERI 15","JAWA TENGAH","KOTA SEMARANG","SMA"
749,18,518.714,"10211702","SMAN 4 PEMATANG SIANTAR","SUMATERA UTARA","KOTA PEMATANGSIANTAR","SMA"
750,113,518.709,"20521711","SMAN 2 BONDOWOSO","JAWA TIMUR","KAB. BONDOWOSO","SMA"
751,135,518.634,"20325279","SMAN 3 SLAWI","JAWA TENGAH","KAB. TEGAL","SMA"
752,136,518.567,"69897124","SMA ISLAM AL AZHAR 14","JAWA TENGAH","KOTA SEMARANG","SMA"
753,148,518.534,"20224112","SMA NEGERI 5 CIMAHI","JAWA BARAT","KOTA CIMAHI","SMA"
754,137,518.506,"69894827","Tahfizh Nurul Iman","JAWA TENGAH","KAB. KARANGANYAR","MA"
755,114,518.505,"20501703","SMAN 1 WARU","JAWA TIMUR","KAB. SIDOARJO","SMA"
756,138,518.493,"20328891","SMA NEGERI 07","JAWA TENGAH","KOTA SEMARANG","SMA"
757,7,518.462,"60725447","SMAS GIBS","KALIMANTAN SELATAN","KAB. BARITO KUALA","SMA"
758,57,518.46,"20407372","SMAS TERPADU BINA UMAT","DI YOGYAKARTA","KAB. SLEMAN","SMA"
759,139,518.459,"20317501","SMAN 2 KUDUS","JAWA TENGAH","KAB. KUDUS","SMA"
760,140,518.39,"20329845","SMAN 3 TEGAL","JAWA TENGAH","KOTA TEGAL","SMA"
761,19,518.311,"10263550","SMAN 2 LINTONGNIHUTA","SUMATERA UTARA","KAB. HUMBANG HASUDUTAN","SMA"
762,141,518.239,"20363035","MAN SALATIGA","JAWA TENGAH","KOTA SALATIGA","MA"
763,115,518.18,"20501862","SMAN 1 GEDANGAN","JAWA TIMUR","KAB. SIDOARJO","SMA"
764,113,518.053,"20101585","SMAN 94 JAKARTA","DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
765,149,518.006,"20218356","SMAN 1 CIKARANG UTARA","JAWA BARAT","KAB. BEKASI","SMA"
766,142,517.958,"69829549","SMA SYUBBANUL WATHON","JAWA TENGAH","KOTA JAKARTA SELATAN","SMA"
