"Ranking","Rangking.Provinsi","Nilai.Total","NPSN","Sekolah","Provinsi","Kab.Kota","Jenis"
119,14,560.336,"20615025","SMAS PENABUR BINTARO","BANTEN","KOTA TANGERANG SELATAN","SMA"
120,16,560.084,"20307644","SMAS PANGUDI LUHUR VAN LITH","JAWA TENGAH","KAB. MAGELANG","SMA"
121,16,559.81,"20532131","SMAS KATOLIK FRATERAN","JAWA TIMUR","KOTA SURABAYA","SMA"
122,37,559.761,"20103296","SMAN 39 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
123,19,559.515,"20222370","SMA KRISTEN PENABUR CIREBON","JAWA BARAT","KOTA CIREBON","SMA"
124,12,559.444,"20403170","SMAN 7 YOGYAKARTA","DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
125,13,558.943,"20403176","SMAN 11 YOGYAKARTA","DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
126,17,558.789,"20532260","SMAN 6 SURABAYA","JAWA TIMUR","KOTA SURABAYA","SMA"
127,18,558.709,"20532236","SMAN 16 SURABAYA","JAWA TIMUR","KOTA SURABAYA","SMA"
128,17,558.677,"20310417","SMAN 1 SUKOHARJO","JAWA TENGAH","KAB. SUKOHARJO","SMA"
129,20,558.553,"20219326","SMAN 8 BANDUNG","JAWA BARAT","KOTA BANDUNG","SMA"
130,38,558.552,"20102592","SMAN 49 JAKARTA","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
131,21,558.512,"20253599","SMAS PENABUR","JAWA BARAT","KOTA BEKASI","SMA"
132,2,558.172,"10404453","SMAN PLUS PROP RIAU","RIAU","KOTA PEKANBARU","SMA"
133,19,558.029,"20505009","SMAN 1 TUBAN","JAWA TIMUR","KAB. TUBAN","SMA"
134,20,557.979,"20503414","SMA NEGERI 2 JOMBANG","JAWA TIMUR","KAB. JOMBANG","SMA"
135,14,557.896,"20402794","SMA NEGERI 1 WATES","DI YOGYAKARTA","KAB. KULON PROGO","SMA"
136,18,557.888,"20328896","SMA NEGERI 02","JAWA TENGAH","KOTA SEMARANG","SMA"
137,3,557.793,"10303461","SMAN 1 PADANG","SUMATERA BARAT","KOTA PADANG","SMA"
138,22,557.758,"20219262","SMAS ALLOYSIUS 2","JAWA BARAT","KOTA BANDUNG","SMA"
139,3,557.581,"69787182","SMAS Mutiara Harapan","RIAU","KAB. PELALAWAN","SMA"
140,39,557.32,"20103223","SMAS LABSCHOOL JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
141,4,557.145,"10303462","SMAN 10 PADANG","SUMATERA BARAT","KOTA PADANG","SMA"
142,19,557.128,"20327969","SMAN 4 SURAKARTA","JAWA TENGAH","KOTA SURAKARTA","SMA"
143,20,557.049,"20339021","SMA NEGERI 1 PATI","JAWA TENGAH","KAB. PATI","SMA"
144,15,557.005,"20603377","SMAS STELLA MARIS BSD","BANTEN","KOTA TANGERANG SELATAN","SMA"
145,40,556.92,"20102212","SMAN 38 JAKARTA","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
146,21,556.838,"20328916","SMA KARANGTURI","JAWA TENGAH","KOTA SEMARANG","SMA"
147,21,556.822,"20532242","SMAN 1 SURABAYA","JAWA TIMUR","KOTA SURABAYA","SMA"
148,22,556.666,"69883214","SMA PLUS AR RAHMAT","JAWA TIMUR","KAB. BOJONEGORO","SMA"
149,1,556.378,"50103124","SMAN 4 DENPASAR","BALI","KOTA DENPASAR","SMA"
150,15,556.286,"20401146","SMAN 1 GODEAN","DI YOGYAKARTA","KAB. SLEMAN","SMA"
151,2,556.109,"11002204","SMAS KATOLIK YOS SUDARSO","KEPULAUAN RIAU","KOTA BATAM","SMA"
152,41,556.016,"20103256","SMAN 99 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
153,22,555.946,"20302165","SMAN 2 PURWOKERTO","JAWA TENGAH","KAB. BANYUMAS","SMA"
154,23,555.646,"20317494","SMAN 1 KUDUS","JAWA TENGAH","KAB. KUDUS","SMA"
155,42,555.493,"20103285","SMAN 12 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
156,5,555.457,"69983368","MAN INSAN CENDEKIA PADANG PARIAMAN","SUMATERA BARAT","KAB. PADANG PARIAMAN","MA"
157,23,555.312,"20534388","SMAN 2 KEDIRI","JAWA TIMUR","KOTA KEDIRI","SMA"
158,43,555.254,"20100201","SMAN 77 JAKARTA","DKI JAKARTA","KOTA JAKARTA PUSAT","SMA"
159,44,555.181,"20100198","SMAS SANTA THERESIA JAKARTA","DKI JAKARTA","KOTA JAKARTA PUSAT","SMA"
160,4,555.143,"10208520","SMAN 2 BALIGE","SUMATERA UTARA","KAB. TOBA SAMOSIR","SMA"
161,1,555.068,"69941607","MAN Insan Cendekia Oki","SUMATERA SELATAN","KAB. OGAN KOMERING ILIR","MA"
162,16,554.776,"20401161","SMAN 1 DEPOK","DI YOGYAKARTA","KAB. SLEMAN","SMA"
163,45,554.768,"20103303","SMAN 71 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
164,24,554.585,"20328893","SMA NEGERI 05","JAWA TENGAH","KOTA SEMARANG","SMA"
165,25,554.285,"20302182","SMAN 1 PURWOKERTO","JAWA TENGAH","KAB. BANYUMAS","SMA"
166,23,554.109,"20238524","SMK-SMAK BOGOR","JAWA BARAT","KOTA BOGOR","SMK"
167,5,554.105,"10210836","SMAS SUTOMO 2","SUMATERA UTARA","KOTA MEDAN","SMA"
168,24,554.072,"69870886","SMA KRISTEN PENABUR SUMMARECON BEKASI","JAWA BARAT","KOTA BEKASI","SMA"
169,25,553.99,"20223818","SMAN 2 KOTA DEPOK","JAWA BARAT","KOTA DEPOK","SMA"
170,26,553.839,"20312200","SMAN 1 KARANGANYAR","JAWA TENGAH","KAB. KARANGANYAR","SMA"
171,24,553.764,"20533667","SMAN 4","JAWA TIMUR","KOTA MALANG","SMA"
172,26,553.668,"20219254","SMAN 2 BANDUNG","JAWA BARAT","KOTA BANDUNG","SMA"
173,1,553.465,"30105210","SMAN 1 PONTIANAK","KALIMANTAN BARAT","KOTA PONTIANAK","SMA"
174,27,553.371,"20328894","SMA NEGERI 04","JAWA TENGAH","KOTA SEMARANG","SMA"
175,6,553.367,"10211691","SMAS BUDI MULIA","SUMATERA UTARA","KOTA PEMATANGSIANTAR","SMA"
176,27,553.304,"20223044","SMAN 5 BEKASI","JAWA BARAT","KOTA BEKASI","SMA"
177,1,553.297,"30401491","SMAN 1 BALIKPAPAN ","KALIMANTAN TIMUR","KOTA BALIKPAPAN","SMA"
178,25,552.955,"20520820","SMAN 2 LUMAJANG","JAWA TIMUR","KAB. LUMAJANG","SMA"
179,28,552.257,"20200691","SMAN 2 CIBINONG","JAWA BARAT","KAB. BOGOR","SMA"
180,28,552.206,"20306171","SMAN 7 PURWOREJO","JAWA TENGAH","KAB. PURWOREJO","SMA"
181,29,551.761,"20325299","SMAN 1 SLAWI","JAWA TENGAH","KAB. TEGAL","SMA"
182,30,551.662,"69760753","SMAS IT IBNU ABBAS","JAWA TENGAH","KAB. KLATEN","SMA"
183,2,551.45,"10504594","SMAS XAVERIUS 1","JAMBI","KOTA JAMBI","SMA"
184,29,551.448,"20279931","SMAS AL-IRSYAD SATYA ","JAWA BARAT","KAB. BANDUNG BARAT","SMA"
185,17,551.402,"20401124","SMAN 1 SLEMAN","DI YOGYAKARTA","KAB. SLEMAN","SMA"
186,18,551.378,"20403179","SMAN 4 YOGYAKARTA","DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
187,31,551.338,"20303249","SMAN 1 PURBALINGGA","JAWA TENGAH","KAB. PURBALINGGA","SMA"
188,32,551.298,"20320242","SMA NEGERI 1 UNGARAN","JAWA TENGAH","KAB. SEMARANG","SMA"
189,26,551.117,"20535050","SMAN 1 BLITAR","JAWA TIMUR","KOTA BLITAR","SMA"
190,33,550.982,"20306807","SMA NEGERI 1 WONOSOBO","JAWA TENGAH","KAB. WONOSOBO","SMA"
191,19,550.978,"20403175","SMAN 10 YOGYAKARTA","DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
192,2,550.977,"50100337","SMAN 1 SINGARAJA","BALI","KAB. BULELENG","SMA"
193,20,550.933,"20401156","SMAS KOLESE DE BRITTO DEPOK","DI YOGYAKARTA","KAB. SLEMAN","SMA"
194,46,550.735,"20104432","SMAS KATOLIK SANG TIMUR","DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
195,27,550.718,"20511965","SMAN 2 PARE","JAWA TIMUR","KAB. KEDIRI","SMA"
196,30,550.714,"20219248","SMAN 24 BANDUNG","JAWA BARAT","KOTA BANDUNG","SMA"
197,47,550.624,"20101626","SMAN 112 JAKARTA","DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
198,2,550.562,"69856916","SMA IGNATIUS GLOBAL SCHOOL (IGS) PALEMBANG","SUMATERA SELATAN","KOTA PALEMBANG","SMA"
199,31,550.431,"20219309","SMAN 5 BANDUNG","JAWA BARAT","KOTA BANDUNG","SMA"
200,32,550.232,"20219269","SMAS TARUNA BAKTI","JAWA BARAT","KOTA BANDUNG","SMA"
201,34,549.946,"69859366","SMKN JATENG DI SEMARANG","JAWA TENGAH","KOTA SEMARANG","SMK"
