"Ranking","Gap","NPSN","Sekolah","Nilai.Total","Provinsi","Kab.Kota","Jenis"
534,-144,20222364,"SMAN 1 CIREBON",530.188,"JAWA BARAT","KOTA CIREBON","SMA"
535,NA,20532151,"SMA KATOLIK ST LOUIS 2",530.113,"JAWA TIMUR","KOTA SURABAYA","SMA"
536,22,20317501,"SMAN 2 KUDUS",530.076,"JAWA TENGAH","KAB. KUDUS","SMA"
537,89,20277119,"MAN 2 KOTA BOGOR",530.072,"JAWA BARAT","KOTA BOGOR","MA"
538,84,20327971,"SMAN 6 SURAKARTA",530.056,"JAWA TENGAH","KOTA SURAKARTA","SMA"
539,NA,20402807,"SMA NEGERI 1 KALIBAWANG",529.947,"DI YOGYAKARTA","KAB. KULON PROGO","SMA"
540,161,20309690,"SMAN 3 KLATEN",529.911,"JAWA TENGAH","KAB. KLATEN","SMA"
541,-15,20103279,"SMAN 9 JAKARTA",529.907,"DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
542,445,20400372,"SMA NEGERI 1 SEDAYU",529.72,"DI YOGYAKARTA","KAB. BANTUL","SMA"
543,434,69757388,"SMAS IT RAUDHATUL JANNAH ",529.669,"BANTEN","KOTA CILEGON","SMA"
544,-28,20534122,"SMAN 3 TARUNA ANGKASA MADIUN",529.663,"JAWA TIMUR","KOTA MADIUN","SMA"
545,245,50102081,"SMAN 1 SUKAWATI",529.641,"BALI","KAB. GIANYAR","SMA"
546,40,20532218,"SMAN 18 SURABAYA",529.608,"JAWA TIMUR","KOTA SURABAYA","SMA"
547,42,10206580,"SMAN 1 MATAULI PANDAN",529.591,"SUMATERA UTARA","KAB. TAPANULI TENGAH","SMA"
548,1,20309681,"SMAN 1 JOGONALAN",529.587,"JAWA TENGAH","KAB. KLATEN","SMA"
549,155,10211702,"SMAN 4 PEMATANG SIANTAR",529.587,"SUMATERA UTARA","KOTA PEMATANGSIANTAR","SMA"
550,190,20101621,"SMAN 23 JAKARTA",529.577,"DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
551,122,20307677,"SMAN 1 DUKUN",529.556,"JAWA TENGAH","KAB. MAGELANG","SMA"
552,52,69961248,"SMA IT PUTRI AL HANIF",529.543,"BANTEN","KOTA CILEGON","SMA"
553,-260,20324216,"SMAN 1 PEMALANG",529.488,"JAWA TENGAH","KAB. PEMALANG","SMA"
554,134,20503408,"SMA NEGERI MOJOAGUNG",529.477,"JAWA TIMUR","KAB. JOMBANG","SMA"
555,-88,20508480,"SMAN 1 NGAWI",529.476,"JAWA TIMUR","KAB. NGAWI","SMA"
556,340,10498808,"MAN 1 PEKANBARU",529.442,"RIAU","KOTA PEKANBARU","MA"
557,354,50103117,"SMKN 2 DENPASAR",529.376,"BALI","KOTA DENPASAR","SMK"
558,124,20606271,"SMAN 2 KRAKATAU STEEL CILEGON",529.31,"BANTEN","KOTA CILEGON","SMA"
559,NA,20606542,"SMAS BUDI LUHUR",529.308,"BANTEN","KOTA TANGERANG","SMA"
560,-19,20533803,"SMKS TELKOM SANDHY PUTRA",529.279,"JAWA TIMUR","KOTA MALANG","SMK"
